KEY	sensEnto	resitEnto	sensDauno	resDauno	relSoraf	diagSoraf	sensEnto1	sensDauno1	resSoraf1	resEnto1	resDauno1	diagSoraf1
ENSG00000005206.12	2296	1223	378	2180	0	0	1625	1831	1	1656	1947	0
ENSG00000006062.9	197	53	56	449	0	0	141	249	0	83	395	0
ENSG00000012171.13	34	16	0	95	0	11	25	30	40	13	38	11
ENSG00000031544.10	1	1	0	6	0	21	0	0	0	0	4	21
ENSG00000034063.9	7777	2250	1763	3640	0	19	4115	6322	448	3083	5336	19
ENSG00000049319.2	1	2	0	72	0	2	4	0	0	2	4	2
ENSG00000083622.8	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000088970.11	501	179	115	2182	0	0	316	632	2	259	1666	0
ENSG00000093100.13	341	149	307	1803	0	0	226	1698	1	240	2131	0
ENSG00000099869.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000100181.17	0	1	3935	22614	0	0	0	30310	0	0	27415	0
ENSG00000104691.10	530	474	444	2179	0	252	421	3460	378	755	2951	252
ENSG00000104725.9	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000105663.10	4061	1909	1152	3319	0	0	2927	4767	1	2452	3786	0
ENSG00000110347.7	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000115934.11	0	0	0	6	0	0	0	8	0	0	6	0
ENSG00000117242.7	3100	1451	736	5825	1353	1747	2207	3861	3119	1812	3721	1747
ENSG00000118412.8	2597	827	700	2050	0	3345	2042	3634	3547	1529	2673	3345
ENSG00000122043.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000124835.2	1	0	0	0	9	22	0	0	12	0	0	22
ENSG00000124915.6	25	5	0	11	0	2	18	27	2	5	9	2
ENSG00000125514.5	0	0	0	0	0	0	0	0	0	0	11	0
ENSG00000125804.9	2	1	0	2	0	0	1	0	0	3	0	0
ENSG00000126005.11	2154	995	339	3198	0	3	1524	1348	0	1214	2528	3
ENSG00000129816.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000129845.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000130600.11	8	2	82	65	0	34	6	145	29	3	1004	34
ENSG00000131007.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131484.3	0	0	0	0	0	0	0	1	0	0	5	0
ENSG00000131538.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000131548.6	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000132204.9	0	0	256	1365	0	0	0	904	0	0	1249	0
ENSG00000132832.5	17	5	0	0	0	0	7	2	0	10	1	0
ENSG00000135253.9	365	212	498	2778	0	403	274	2984	580	291	3354	403
ENSG00000136315.3	585	229	0	0	0	1133	437	0	0	315	0	1133
ENSG00000137808.12	0	0	0	4	0	0	0	0	0	0	0	0
ENSG00000142396.6	1994	975	1753	5056	0	0	1393	6090	2	1276	5877	0
ENSG00000144596.7	29	7	34	103	46	42	27	47	74	17	148	42
ENSG00000145063.10	0	1	0	2	0	0	0	0	0	0	3	0
ENSG00000146666.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000147753.5	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000147761.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000149656.4	0	0	0	2	0	2	0	6	0	0	12	2
ENSG00000151303.11	3	0	0	2	0	0	0	2	5	0	3	0
ENSG00000152268.8	0	0	1	10	0	303	0	22	148	0	15	303
ENSG00000152487.6	32	11	25	218	0	309	23	148	477	17	312	309
ENSG00000152931.7	0	1	0	1	0	35	0	0	29	0	4	35
ENSG00000153363.8	36	16	50	1995	93	78	44	342	180	22	849	78
ENSG00000157152.12	16	2	0	39	8	9	12	3	0	6	14	9
ENSG00000157306.10	816	361	95	480	0	1369	630	458	1	442	588	1369
ENSG00000160336.10	385	4	285	1882	0	0	316	1376	4	2	2143	0
ENSG00000162947.4	0	0	0	0	0	2	0	0	0	0	0	2
ENSG00000163364.5	0	0	0	2	0	2	0	0	0	0	2	2
ENSG00000163597.10	7950	2430	3591	26662	0	20	3849	18251	87	2207	20493	20
ENSG00000164621.5	0	1	1	6	0	31	2	9	44	4	2	31
ENSG00000166770.6	0	0	2	37	0	0	0	14	0	0	18	0
ENSG00000166917.7	0	0	0	59	0	1	0	24	2	0	79	1
ENSG00000167117.4	0	0	0	0	0	0	0	0	0	0	0	0
ENSG00000167355.3	0	0	729	18991	0	2	0	6291	3	0	16823	2
ENSG00000167459.12	0	0	0	0	0	0	0	0	0	0	0	0
